92,"Dr. Homiahangir Bhadha Degree College, Guntur","Acharya Nagarjuna University, Guntur"
93,"Dr. Jayapradamba Degree College, Guntur","Acharya Nagarjuna University, Guntur"
94,"Dr. K.R.R.M. College, Guntur","Acharya Nagarjuna University, Guntur"
95,"Dr. Zakir Hussain Degree College, Krishna","Acharya Nagarjuna University, Guntur"
96,Erigeneni Tirupathi Naidu and Lakshmamma College,"Acharya Nagarjuna University, Guntur"
97,"Fr. Heyer College, Phirangipuram","Acharya Nagarjuna University, Guntur"
98,"G.R.K. Degree College, Prakasam","Acharya Nagarjuna University, Guntur"
99,"G.R.R. and T.P.R. Degree College, Prakasam","Acharya Nagarjuna University, Guntur"
100,"G.S.R. Degree College (Siddhartha Degree College), Guntur","Acharya Nagarjuna University, Guntur"
101,"G.S.R. Degree College, Guntur","Acharya Nagarjuna University, Guntur"
102,"G.V.R. and S. Institute for Professional Studies, Shantinagar","Acharya Nagarjuna University, Guntur"
103,"G.V.R. and Sailaja Degree College for Women, Shantinagar","Acharya Nagarjuna University, Guntur"
104,"Gandhi Mahila Kalasala, Krishna","Acharya Nagarjuna University, Guntur"
105,"Geetam Degree College, Ongole","Acharya Nagarjuna University, Guntur"
106,"Geetanjali Degree College, Prakasam","Acharya Nagarjuna University, Guntur"
107,"Gowtham Degree College, Vijayawada","Acharya Nagarjuna University, Guntur"
108,"Guntur Chalamaiah Karpurapu V. Narayana Degree College (G.C.K.V), Guntur","Acharya Nagarjuna University, Guntur"
109,"Hindu College, Guntur","Acharya Nagarjuna University, Guntur"
110,"Ideal and Sri Krishna Chaitanya Memorial Degree College, Prakasam","Acharya Nagarjuna University, Guntur"
111,"Immaculate College, Krishna","Acharya Nagarjuna University, Guntur"
112,"J.K.C. College, Guntur","Acharya Nagarjuna University, Guntur"
113,"J.M.J. College for Women, Guntur","Acharya Nagarjuna University, Guntur"
114,"J.R.R. Navodaya Degree College, Gurazala","Acharya Nagarjuna University, Guntur"
115,"Jupiter Degree College, Guntur","Acharya Nagarjuna University, Guntur"
116,"K.B.N. Degree College, Vijayawada","Acharya Nagarjuna University, Guntur"
117,"K.L.R. College, Prakasam","Acharya Nagarjuna University, Guntur"
118,"K.R.S.L. Degree College for Women, Guntur","Acharya Nagarjuna University, Guntur"
119,"K.S.R.N.R. Degree College, Amarthalur Mandal","Acharya Nagarjuna University, Guntur"
120,"K.T.R. College for Women, Krishna","Acharya Nagarjuna University, Guntur"
121,"K.V.R. and M.K.R. Degree College, Guntur","Acharya Nagarjuna University, Guntur"
122,"K.V.R. Degree College, Krishna","Acharya Nagarjuna University, Guntur"
123,"Kakatia Mahila Degree Kalasala, Vijayawada","Acharya Nagarjuna University, Guntur"
124,"Krishi Degree College, Krishna","Acharya Nagarjuna University, Guntur"
125,"Krishnaveni Degree College, Guntur","Acharya Nagarjuna University, Guntur"
126,"Kudaravali Anjaiah Memorial (K.A.M) and Sree Sai Degree College, Tenali","Acharya Nagarjuna University, Guntur"
127,"M.A.K.A. Degree College, Prakasam","Acharya Nagarjuna University, Guntur"
128,"M.V.G.R.R. College, Guntur","Acharya Nagarjuna University, Guntur"
129,"M.V.R. Degree College, Nuzvid","Acharya Nagarjuna University, Guntur"
130,"M.V.R.S. Viveka Degree College, Tenali","Acharya Nagarjuna University, Guntur"
131,"Madonna Special College for Deaf, Vijayawada","Acharya Nagarjuna University, Guntur"
132,"Magunta Sreenivasulu Reddy Degree College, Prakasam","Acharya Nagarjuna University, Guntur"
133,"Magunta Subbi Rami Reddy Degree College, Prakasam","Acharya Nagarjuna University, Guntur"
134,"Mahatma Gandhi Degree College, Guntur","Acharya Nagarjuna University, Guntur"
135,"Manthena Venkatapathi Raju Degree College, Guntur","Acharya Nagarjuna University, Guntur"
136,"Marie Stella Women's College, Krishna","Acharya Nagarjuna University, Guntur"
137,"Maruthi Degree College, Gampalagudem","Acharya Nagarjuna University, Guntur"
138,"Maruti Degree College, Krishna","Acharya Nagarjuna University, Guntur"
139,"Mekapati Raja Mohan Reddy Degree College for Women, Macherla","Acharya Nagarjuna University, Guntur"
140,"Mittapalli Lakshmaiah and Sons Degree College, Piduguralla","Acharya Nagarjuna University, Guntur"
141,"Mittapalli Venkata Koteswara Rao (M.V.K.R) College, Guntur","Acharya Nagarjuna University, Guntur"
142,"Modern Degree College, Chilakaluripet","Acharya Nagarjuna University, Guntur"
143,"Modugula Sreerami Reddy Degree College, Guntur","Acharya Nagarjuna University, Guntur"
144,"Montessori Mahila Kalasala, Vijayawada","Acharya Nagarjuna University, Guntur"
145,"Morning Star College, Guntur","Acharya Nagarjuna University, Guntur"
146,"Mother Theresa Women's Degree College, Guntur","Acharya Nagarjuna University, Guntur"
147,"Moulana Abdul Kalam Azad Degree College, Vijayawada","Acharya Nagarjuna University, Guntur"
148,"N.N.R. and C.L. College, Prakasam","Acharya Nagarjuna University, Guntur"
149,"N.R.K. and K.S.R. Gupta College, Tenali","Acharya Nagarjuna University, Guntur"
150,"N.R.T. Krishnaveni Degree College, Guntur","Acharya Nagarjuna University, Guntur"
151,"N.T.R. Memorial Degree College, Prakasam","Acharya Nagarjuna University, Guntur"
152,"Nalanda Degree College, Vijayawada","Acharya Nagarjuna University, Guntur"
153,"Narayana Memorial Degree College, Kanchikacharla","Acharya Nagarjuna University, Guntur"
154,"Naripella Narayana Swamy Vidya Degree College, Prakasam","Acharya Nagarjuna University, Guntur"
155,"National Minorities Degree College, Chirala","Acharya Nagarjuna University, Guntur"
156,"Noble College, Krishna","Acharya Nagarjuna University, Guntur"
157,"O.P.H.I.R. Degree College, G.Konduru","Acharya Nagarjuna University, Guntur"
158,"P.B. Siddhartha College, Vijayawada","Acharya Nagarjuna University, Guntur"
159,"P.B.N. College, Guntur","Acharya Nagarjuna University, Guntur"
160,"P.N.C. and K.R. Degree College, Guntur","Acharya Nagarjuna University, Guntur"
161,"P.N.C.A. Degree College, Singarayakonda Mandal","Acharya Nagarjuna University, Guntur"
162,"Padmanabham Narshimam Shetty Annapurnamma College, Mulagudtapdu","Acharya Nagarjuna University, Guntur"
163,"Pavitra Degree College, Machilipatnam","Acharya Nagarjuna University, Guntur"
164,"Pedanandipadu College (P.A.S), Guntur","Acharya Nagarjuna University, Guntur"
165,"Pinnamaneni Rajendra Prasad Memorial Degree College, Penamaluru Mandal","Acharya Nagarjuna University, Guntur"
166,"Ponnur Degree College, Guntur","Acharya Nagarjuna University, Guntur"
167,"Prabhala Lakshminarayana Memorial Degree College, Guntur","Acharya Nagarjuna University, Guntur"
168,"Prabhas Degree College, Vijayawada","Acharya Nagarjuna University, Guntur"
169,"Prasanthi Degree College, Tiruvuru","Acharya Nagarjuna University, Guntur"
170,"Pratibha Degree College, Pedanandipadu","Acharya Nagarjuna University, Guntur"
171,"Priyadarshini Degree College, Tenali","Acharya Nagarjuna University, Guntur"
172,"R.K. Degree College, Guntur","Acharya Nagarjuna University, Guntur"
173,"R.V.V.N. College, Guntur","Acharya Nagarjuna University, Guntur"
174,"Rajiv Gandhi Degree College, Vijayawada","Acharya Nagarjuna University, Guntur"
175,"Rajiv Gandhi Degree College, Vijayawada","Acharya Nagarjuna University, Guntur"
176,"Ranganayakamma Women's Degree College, Vijayawada","Acharya Nagarjuna University, Guntur"
177,"Repalle Christian Degree College, Repalle","Acharya Nagarjuna University, Guntur"
178,"Residential College, Guntur","Acharya Nagarjuna University, Guntur"
179,"Rutviks College, Vijayawada","Acharya Nagarjuna University, Guntur"
180,"S. Mahaveer Memorial (S.M.M) Jain College, Guntur","Acharya Nagarjuna University, Guntur"
